DuftnoteID,Duftnote,AllgemeineDuftnote,Duftgruppen
2277,französische Iris,Iris,Blumige-Noten
2278,französische Iris Absolue,Iris,Blumige-Noten
2279,französische Irisbutter,Iris,Blumige-Noten
2280,französische Iriswurzel,Iris,Blumige-Noten
2281,grüne Iris,Iris,Blumige-Noten
2282,indische Iris,Iris,Blumige-Noten
2283,Iris Absolue,Iris,Blumige-Noten
2284,Iris Resinoid,Iris,Blumige-Noten
2285,Iris sofarana,Iris,Blumige-Noten
2286,Iris-Puder,Iris,Blumige-Noten
2287,Irisblatt,Iris,Blumige-Noten
2288,Irisbutter,Iris,Blumige-Noten
2289,Irisbutter Absolue,Iris,Blumige-Noten
2290,Irisbutter CO,Iris,Blumige-Noten
2291,Irisknospe,Iris,Blumige-Noten
2292,Irismilch,Iris,Blumige-Noten
2293,Irisnektar,Iris,Blumige-Noten
2294,Iriswurzel Absolue,Iris,Blumige-Noten
2295,Iriswurzel CO,Iris,Blumige-Noten
2296,Irotyl,Irotyl,Riechstoffe
2297,italienische Bleiche Schwertlilie,Lilie,
2298,italienische Iris,Iris,Blumige-Noten
2299,italienische Iris Absolue,Iris,Blumige-Noten
2300,italienische Iris Concrete,Iris,Blumige-Noten
2301,italienische Irisbutter,Iris,Blumige-Noten
2302,italienische Iriswurzel,Iris,Blumige-Noten
2303,italienische Sumpf-Schwertlilie,Lilie,
2304,Jalapenwurzel,Jalapenwurzel,
2305,japanische Iris,Iris,Blumige-Noten
2306,japanische Irisbutter,Iris,Blumige-Noten
2307,Kaschmir-Iris,Iris,Blumige-Noten
2308,lila Iris,Iris,Blumige-Noten
2309,marokkanische Irisbutter,Iris,Blumige-Noten
2310,Mitternacht-Iris,Iris,Blumige-Noten
2311,Netzblatt-Schwertlilie,Lilie,
2312,pinke Iris,Iris,Blumige-Noten
2313,rote Iris,Iris,Blumige-Noten
2314,schwarze Bartiris,schwarze Bartiris,
2315,schwarze Iris,Iris,Blumige-Noten
2316,sibirische Schwertlilie,Lilie,
2317,Sumpf-Schwertlilie,Lilie,
2318,tunesische Iris Absolue,Iris,Blumige-Noten
2319,türkische Iris,Iris,Blumige-Noten
2320,türkische Irisbutter,Iris,Blumige-Noten
2321,weiße Iris,Iris,Blumige-Noten
2322,wilde Iris,Iris,Blumige-Noten
2323,Jasmintee,Jasmin,Blumige-Noten
2324,Jasminum auriculatum,Jasmin,Blumige-Noten
2325,Jasminum grandiflorum,Jasmin,Blumige-Noten
2326,Jasminum sambac,Jasmin,Blumige-Noten
2327,afrikanischer Jasmin,Jasmin,Blumige-Noten
2328,ägyptischer Jasmin,Jasmin,Blumige-Noten
2329,andalusischer Jasmin,Jasmin,Blumige-Noten
2330,asiatischer Jasmin,Jasmin,Blumige-Noten
2331,brasilianischer Jasmin,Jasmin,Blumige-Noten
2332,Carolina-Jasmin,Jasmin,Blumige-Noten
2333,chinesischer Jasmin,Jasmin,Blumige-Noten
2334,florentinischer Jasmin,Jasmin,Blumige-Noten
2335,französischer Jasminum grandiflorum,Jasmin,Blumige-Noten
2336,Grasse-Jasmin,Jasmin,Blumige-Noten
2337,grüner Jasmin,Jasmin,Blumige-Noten
2338,grüner Jasmintee,Jasmin,Blumige-Noten
2339,Himalaya-Jasmin,Jasmin,Blumige-Noten
2340,indischer Jasminum auriculatum,Jasmin,Blumige-Noten
2341,indischer Jasminum auriculatum Absolue,Jasmin,Blumige-Noten
2342,indischer nachtblühender Jasmin,Jasmin,Blumige-Noten
2343,indonesischer Jasminum grandiflorum,Jasmin,Blumige-Noten
2344,japanischer Jasmin,Jasmin,Blumige-Noten
2345,Jasmin Attar,Jasmin,Blumige-Noten
2346,Jasmin Concrete,Jasmin,Blumige-Noten
2347,Jasmin-Lacton,Jasmin,Blumige-Noten
2348,Jasmin-Reis,Jasmin,Blumige-Noten
2349,Jasminblatt,Jasmin,Blumige-Noten
2350,Jasmincreme,Jasmin,Blumige-Noten
2351,Jasminholz,Jasmin,Blumige-Noten
2352,Jasminknospe,Jasmin,Blumige-Noten
2353,Jasminmarmelade,Jasmin,Blumige-Noten
2354,Jasminmilch,Jasmin,Blumige-Noten
2355,Jasminnektar,Jasmin,Blumige-Noten
2356,Jasmintee Absolue,Jasmin,Blumige-Noten
2357,Jasminum grandiflorum CO,Jasmin,Blumige-Noten
2358,Jasminwasser,Jasmin,Blumige-Noten
2359,Jasmolactone,Jasmolactone,Riechstoffe
2360,kalabrischer Jasmin,Jasmin,Blumige-Noten
2361,kambodschanischer Jasmin,Jasmin,Blumige-Noten
2362,madagassischer Jasmin,Jasmin,Blumige-Noten
2363,mediterraner Jasmin,Jasmin,Blumige-Noten
2364,nordafrikanischer Jasmin,Jasmin,Blumige-Noten
2365,pakistanischer Jasminum grandiflorum,Jasmin,Blumige-Noten
2366,persischer Jasmin,Jasmin,Blumige-Noten
2367,philippinischer Jasmin-Sambac,Jasmin,Blumige-Noten
2368,polynesischer Jasmin,Jasmin,Blumige-Noten
